Nombre,Tipo Fitness,Categoría Google,País,Ciudad,Zona Premium,Dirección,Teléfono,Sitio Web,Email,Rating,Nº Reseñas,Tamaño Estimado,Prioridad,Score Nexora (0-10),Tiene Web,Tiene Teléfono,Campaña,Mes Scraping,Google Maps URL
Drifter Wellness Prado Norte,Gimnasio,Centro deportivo,México,Ciudad de México,Polanco,"Avenida Prado Norte 420, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 56 5220 0155,http://drifter.mx/,,4.7,13,Pequeño,MEDIA,8.6,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Drifter%20Wellness%20Prado%20Norte&query_place_id=ChIJT1lxOGoB0oURzbK5_vCHZFw
FLOW DANCE Fitness Studio. - Escuela de POLE DANCE y bailes femeninos,Baile / Danza,Academia de baile,Colombia,Medellín,Laureles,"Cl. 48B #91a-20, Medellín, San Javier, Medellín, Antioquia",+57 320 5259194,,,4.4,7,Pequeño,ALTA,8.6,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=FLOW%20DANCE%20Fitness%20Studio.%20-%20Escuela%20de%20POLE%20DANCE%20y%20bailes%20femeninos&query_place_id=ChIJi9VdBTQpRI4RBufMWq1GHok
Inpeak Crossfit Condesa,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Av. Insurgentes Sur 341, Cuauhtémoc, Ciudad de México, Cd. de México",+52 55 9023 5853,https://www.inpeak.fit/,,4,258,Grande (cadena),MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Inpeak%20Crossfit%20Condesa&query_place_id=ChIJt41FR0H_0YURiUs-NR9Hksc
Curves Lacroze - El Gym de la Mujer,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"Av. Federico Lacroze 2380 1 Piso, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 3467-5474,https://www.instagram.com/curveslacroze/,,4.3,41,Pequeño-mediano,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Curves%20Lacroze%20-%20El%20Gym%20de%20la%20Mujer&query_place_id=ChIJRb3K3NO1vJURrPayW6j89rc
BUFF Academy,Otro,Programa de acondicionamiento físico,Colombia,Medellín,Laureles,"Medellin, Medellín, Laureles, Medellín, Antioquia",,https://buff-academy.com/,,5,37,Pequeño-mediano,BAJA,8.5,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=BUFF%20Academy&query_place_id=ChIJb4ENJTYoRI4RrJ7ktDtf5Ks
Pilates ProWorks - Chapinero,Pilates,Centro de pilates,Colombia,Bogotá,Chapinero,"Cl. 66 #4a-62, Bogotá, Cundinamarca",+57 601 3101150,http://www.pilatesproworks.com/bogota,,4.3,37,Pequeño-mediano,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Pilates%20ProWorks%20-%20Chapinero&query_place_id=ChIJSdduA0GaP44RPBxSkZrrua8
Nacho Berti - Entrenador,Otro,Entrenador personal,Argentina,Buenos Aires,Palermo,"Guatemala 4480, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",,https://nachoberti.com/,,5,29,Pequeño-mediano,BAJA,8.5,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Nacho%20Berti%20-%20Entrenador&query_place_id=ChIJT6sogoy1vJURuacI9C9pmXk
"“Oasis” Plant house, yoga and comfort. - Three-Bedroom Apartment",Otro,Departamento,Colombia,Envigado,Envigado,"Envigado, Antioquia",,,,5,22,Pequeño-mediano,BAJA,8.5,No,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=%E2%80%9COasis%E2%80%9D%20Plant%20house%2C%20yoga%20and%20comfort.%20-%20Three-Bedroom%20Apartment&query_place_id=ChIJN6BA1VSCRo4RTtzaN6Otjwo
Contrology Pilates Studio,Pilates,Centro de pilates,Colombia,Medellín,Laureles,"Cl. 33A # 76 - 141, Medellín, Laureles, Medellín, Antioquia",+57 310 4268944,http://pilatesstudio.com.co/index.php,,4.3,21,Pequeño-mediano,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Contrology%20Pilates%20Studio&query_place_id=ChIJoatAbK0pRI4Rvoe1E8tpfjo
Training DC,Otro,Entrenador personal,Colombia,Bogotá,Chapinero,"Cl. 46 #4-18, alto, Bogotá",,https://trainingdc.co/entrenador-personal-bogota/,,5,21,Pequeño-mediano,BAJA,8.5,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Training%20DC&query_place_id=ChIJ9ztdU_OZP44RG4a6ZpId_dM
hikari studio pilates,Pilates,Centro de pilates,Colombia,Medellín,Laureles,"Tv. 39B #72 - 63, Medellín, Laureles, Medellín, Antioquia",+57 300 7382696,https://hikaripilates.com/,,5,9,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=hikari%20studio%20pilates&query_place_id=ChIJFexQhkIpRI4RGhdeQPfdwdA
Centrico Pilates Mall Zona Dos Sur,Pilates,Centro de pilates,Colombia,Medellín,El Poblado,"ra. 32, Mall Zona 2 Sur #2 Sur 47, Medellín, El Poblado, Medellín, Antioquia",+57 301 4599377,http://www.centricopilates.com/,,5,8,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Centrico%20Pilates%20Mall%20Zona%20Dos%20Sur&query_place_id=ChIJveGDqSGDRo4RKN_IITZMfKs
Apsara Yoga y Bazar,Otro,Institución educativa,Colombia,Bogotá,Chapinero,"Cl. 28 # 24-33, Bogotá, Bogotá",+57 321 4680306,https://apsarayoga.com/,,5,8,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Apsara%20Yoga%20y%20Bazar&query_place_id=ChIJMTPFUPeZP44REQZI6vsFzlY
Healthletic Lab,Gimnasio,Club deportivo,Colombia,Bogotá,Chapinero,"Kr 24 #37 73, Bogotá, Bogotá",+57 304 6632228,http://www.instagram.com/healthleticlab,,5,8,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Healthletic%20Lab&query_place_id=ChIJYQF-RyibP44RpspJJKyfdQE
Lun Pilates Studio,Pilates,Centro de pilates,México,Ciudad de México,Polanco,"Perif. Blvd. Manuel Ávila Camacho 261, Miguel Hidalgo, polanco, Cd. de México",+52 55 2955 3150,https://lunpilates.com/,,5,8,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Lun%20Pilates%20Studio&query_place_id=ChIJE-o5BM0D0oURsXI9TcI2Kgo
Unique Pilates Esmeraldal,Pilates,Centro de pilates,Colombia,Envigado,Envigado,"Cl. 27 Sur #27 - 38, Envigado, Antioquia",+57 305 3035925,https://www.uniquepilates.co/,,5,7,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Unique%20Pilates%20Esmeraldal&query_place_id=ChIJJR7RnsODRo4R8z13cMp2OJs
samādhi studio,Yoga,Centro de yoga,México,Ciudad de México,Polanco,"Monte Everest 760d, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 5919 4349,http://www.samadhistudio.mx/,,5,7,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=sam%C4%81dhi%20studio&query_place_id=ChIJpxhzzpMB0oURg0EGuLcn1Yo
InCycle Indoor Cycling,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Mall zona dos, Carrera 32. 2 sur-47 Sotano -1 local 9901, Mall Zona 2 Sur #Sótano - 1, Medellín, El Poblado, Medellín, Antioquia",+57 302 6670612,https://wa.me/message/CZXHJOGTY47NE1,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=InCycle%20Indoor%20Cycling&query_place_id=ChIJz_yd36GDRo4R619hWxm-rL8
KINAN Estudio de Pilates,Pilates,Centro de pilates,Colombia,Medellín,El Poblado,"Cra. 42 #16a sur 85, Medellín, El Poblado, Medellín, Antioquia",+57 301 7031852,http://www.kinan.co/,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=KINAN%20Estudio%20de%20Pilates&query_place_id=ChIJIZ-754uCRo4RN7SuVI1GX1k
UMA Movimiento Consciente,Pilates,Centro de pilates,Colombia,Medellín,Laureles,"Tv. 39B #77-65 Piso 2, Medellín, Laureles, Medellín, Antioquia",+57 304 6175509,https://www.instagram.com/uma.movimiento/,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=UMA%20Movimiento%20Consciente&query_place_id=ChIJKYyNUQopRI4RMMEY__w68h4
RENACER FIT 360,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Calle 32C #65F-2 Belén, Medellín, Belén, Medellín, Antioquia",+57 320 5597084,https://bit.ly/4ulf6lk,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=RENACER%20FIT%20360&query_place_id=ChIJ3XKY90spRI4RfU9OyNzoguc
Espacio consciente ECO,Otro,Centro de salud y bienestar,Colombia,Medellín,Laureles,"Cra. 65 #48-126, Medellín, Laureles, Medellín, Antioquia",+57 304 1449836,https://espacioconsciente.co/,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Espacio%20consciente%20ECO&query_place_id=ChIJV-5bVPEpRI4RQZ4QIGYnVf4
Gimnasio Vive N-forma,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Tv. 34 Sur #33-41, Envigado, Antioquia",+57 301 2678150,http://www.instagram.com/vivenforma,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Vive%20N-forma&query_place_id=ChIJiSIM0YeDRo4Rui7JDWZHiyU
VALHALLA TRAINING CENTER,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Dg. 32c #34Esur-15, Envigado, Antioquia",+57 320 7672006,https://instagram.com/soyvalhalla?igshid=YmMyMTA2M2Y=,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=VALHALLA%20TRAINING%20CENTER&query_place_id=ChIJ7-7lgF2DRo4RX_Wn1ymxBIE
Exploradores Gimnasio Infantil,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Cra. 43A #35 sur - 19 INT 201, Envigado, Antioquia",+57 300 1949140,https://www.instagram.com/exploradores.gyminfantil/?next=/,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Exploradores%20Gimnasio%20Infantil&query_place_id=ChIJP-rIUfSDRo4RHNXUVOsuJZA
Sein Wellness Room,Otro,Centro de salud y bienestar,Colombia,Envigado,Envigado,"Cra. 47 #19 Sur 28 Local 2, Envigado, Antioquia",+57 320 7605216,https://www.seinwellnessroom.com/,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Sein%20Wellness%20Room&query_place_id=ChIJ8WHJVRCDRo4RVuqiTmFbefQ
BLANCO YOGA LOMAS,Yoga,Centro de yoga,México,Ciudad de México,Polanco,"Monte Athos 109, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 4807 5381,https://www.blancoyoga.com/,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=BLANCO%20YOGA%20LOMAS&query_place_id=ChIJ1bHwOjsB0oURpNaxlE8vdjw
VIBE SPIN,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Calz Legaria #96, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 4347 9012,http://vivespin.com/,,5,6,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=VIBE%20SPIN&query_place_id=ChIJlRAkkLcD0oURiwgFQN1s4cI
Guerrero - Clases de Boxeo a Domicilio,Otro,Entrenador personal,Colombia,Medellín,El Poblado,"Parque de El Poblado, Medellín, El Poblado, Medellín, Antioquia",+57 300 6484659,http://link.me/dannyvegaboxing,,5,5,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Guerrero%20-%20Clases%20de%20Boxeo%20a%20Domicilio&query_place_id=ChIJ1WWgRA0vRI4Re6oMebbQYI8
Arena Pilates,Pilates,Centro de pilates,Argentina,Córdoba,Nueva Córdoba,"Rondeau 526, Córdoba, Córdoba",+54 351 204-3354,https://www.instagram.com/_arenapilates/,,5,5,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Arena%20Pilates&query_place_id=ChIJ46F3SlijMpQRJfEEJxuxR40
Aliva Pilates Studio,Pilates,Centro de pilates,Colombia,Medellín,El Poblado,"Cra. 43A #1SUR 50, Medellín, El Poblado, Medellín, Antioquia",+57 310 7791033,https://alivapilates.com/,,5,4,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Aliva%20Pilates%20Studio&query_place_id=ChIJaUjDvN-DRo4RGR19VupmXbQ
Carla Márquez Yoga,Otro,,Colombia,Envigado,Envigado,"entre las, Calle 36A Sur, Cra. 46A #y 48 local 205, Envigado, Antioquia",+57 305 2065265,https://www.instagram.com/carlamarquezyoga/,,5,4,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Carla%20M%C3%A1rquez%20Yoga&query_place_id=ChIJPYoxXQ2DRo4R5PehEu4C1A0
Circular45 Polanco,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Perif. Blvd. Manuel Ávila Camacho 137 Local 3, Sótano 1 Col. Polanco Alcaldía Miguel Hidalgo C.P. 11550 Ciudad de México, CDMX Polanco, Miguel Hidalgo, Ciudad de México, CDMX",+52 55 1394 0316,https://circular45.com/,,5,4,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Circular45%20Polanco&query_place_id=ChIJ2QJp47kD0oURgRBdeDhTuRc
CORE PILATES CLUB,Gimnasio,Escuela deportiva,Colombia,Medellín,El Poblado,"Cra. 29d #6A-05 N2 9901, Medellín, El Poblado, Medellín, Antioquia",+57 317 3677551,https://www.corepilatesclub.com/,,5,3,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=CORE%20PILATES%20CLUB&query_place_id=ChIJiYpt90qDRo4RcXuGUy0tfy0
Academia Guerreros MMA,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 55 #39-48, Medellín, La Candelaria, Medellín, Antioquia",+57 321 7867737,,,4.3,3,Pequeño,ALTA,8.5,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Academia%20Guerreros%20MMA&query_place_id=ChIJ6_odGPYoRI4RVW0B_NANEVo
Neera_yoga,Otro,,Colombia,Medellín,Laureles,"Calle 31 Belen, Medellín, Belén, Medellín, Antioquia",+57 300 7519464,https://www.instagram.com/neera_yoga/,,5,3,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Neera_yoga&query_place_id=ChIJa0wJowkpRI4RniF4uf6EJV0
ZENSIA WELLNESS STUDIO,Yoga,Centro de yoga,Colombia,Envigado,Envigado,"Cl. 32B Sur #43A -3 Segundo piso, Envigado, Antioquia",+57 301 7657911,https://www.zensia.com.co/,,5,3,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=ZENSIA%20WELLNESS%20STUDIO&query_place_id=ChIJZStLS4uDRo4R2BL9qVeeVVc
02 Entrenamiento Personalizado,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Cl. 52 #24-18, Bogotá, Bogotá",+57 310 3354218,,,4.3,3,Pequeño,ALTA,8.5,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=02%20Entrenamiento%20Personalizado&query_place_id=ChIJeRjCdjOaP44RYINVVrXecCs
Lotus Yoga Belgrano,Yoga,Centro de yoga,Argentina,Buenos Aires,Palermo,"Av. Cabildo 1049, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 3099-2233,https://www.instagram.com/yogabelgrano,,5,3,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Lotus%20Yoga%20Belgrano&query_place_id=ChIJ8cdmQCC1vJURkchRBX17HCI
Radaria Boutique Fitness Studio,Gimnasio,Club deportivo,México,Ciudad de México,Polanco,"Periférico Blvrd Manuel Ávila Camacho 201, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 1333 5213,https://radaria.com.mx/,,5,3,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Radaria%20Boutique%20Fitness%20Studio&query_place_id=ChIJMTtZdjkD0oUROmacLeiB-n8
Sādhana Wellness Center,Otro,Centro de salud y bienestar,México,Ciudad de México,Polanco,"Av. Lomas de Sotelo 48-edificio 51 B, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 777 352 2633,https://www.instagram.com/yara_wellnesscoach?igsh=M3o3eTJmbnp1eXdv,,5,3,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=S%C4%81dhana%20Wellness%20Center&query_place_id=ChIJ0ZKYU4sD0oUR811Ee27x0n0
Columna Pilates Tecamachalco,Pilates,Centro de pilates,México,Ciudad de México,Polanco,"Fuente de Templanza 19-Primer piso, Naucalpan de Juárez, Estado de México",+52 55 7865 4094,https://www.columnapilates.com/,,5,3,Pequeño,MEDIA,8.5,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Columna%20Pilates%20Tecamachalco&query_place_id=ChIJCem0bGUB0oURdHzDICWuSBc
Smart Fit - La Intermedia,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Envigado, Antioquia",,https://www.smartfit.com.co/gimnasios/la-intermedia?utm_campaign=CO_SMART-FIT_RD_LAINTERMEDIA_25-02-19_AON_IDU-ANCINT1_GBM_TFR&utm_medium=GBM&utm_source=GBM,,4.6,361,Grande (cadena),BAJA,8.4,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Smart%20Fit%20-%20La%20Intermedia&query_place_id=ChIJD4yc2jGDRo4RjIvrRX_KJNM
Bodytech Vizcaya,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cl 10 #32B - 25, Medellín, El Poblado, Medellín, Antioquia",+57 1 800 0182639,https://bodytech.com.co/sedes/vizcaya,,3.9,287,Grande (cadena),MEDIA,8.4,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Bodytech%20Vizcaya&query_place_id=ChIJBwYKEigoRI4Rj2fmjopDcr4
Smart Fit - San Javier La 13,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl 44 #95 - 37, Medellín, La América, Medellín, Antioquia",,https://www.smartfit.com.co/gimnasios/san-javier-la-13?utm_campaign=CO_SMART-FIT_RD_SANJAVIERLA13_25-02-19_AON_IDU-ANCSJA1_GBM_TFR&utm_medium=GBM&utm_source=GBM,,4.6,196,Mediano,BAJA,8.4,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Smart%20Fit%20-%20San%20Javier%20La%2013&query_place_id=ChIJf0XdiNYpRI4RIc0L8SgGCPw
Gimnasio Smart Fit - Tecamachalco,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Av de las Fuentes 377, Naucalpan de Juárez, Estado de México",,https://www.smartfit.com.mx/gimnasios/tecamachalco,,4.6,62,Mediano,BAJA,8.4,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Smart%20Fit%20-%20Tecamachalco&query_place_id=ChIJ45SCCjsB0oUR2-nXyLSlbVY
BFApparelCF,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Ignacio Allende 107, Azcapotzalco, Ciudad de México, Cd. de México",,,,4.9,36,Pequeño-mediano,BAJA,8.4,No,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=BFApparelCF&query_place_id=ChIJ__9Lepr40YURvHx6hU10b8I
Ātma Yoga & Energy Center,Yoga,Centro de yoga,México,Ciudad de México,Polanco,"Goldsmith 38, Miguel Hidalgo, Ciudad de México, Cd. de México",,http://atmayogamx.com/,,4.9,32,Pequeño-mediano,BAJA,8.4,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=%C4%80tma%20Yoga%20%26%20Energy%20Center&query_place_id=ChIJffDoJEsD0oURy8J2mQhxRNc
Factory Gym 777,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 62 #43-45, Medellín, Villa Hermosa, Medellín, Antioquia",+57 321 6479352,https://www.gurugo.co/empresas/factory-gym-777/medellin-CO594678?ad=CO24038,,4.6,14,Pequeño,MEDIA,8.4,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Factory%20Gym%20777&query_place_id=ChIJo_MR0WEpRI4RihJFWDlaFIg
Centro Holístico A-Balance,Pilates,Centro de pilates,Colombia,Envigado,Envigado,"Cra. 29a #37 sur 39, Envigado, Antioquia",+57 604 2708838,https://abalance.online/,,4.6,14,Pequeño,MEDIA,8.4,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Centro%20Hol%C3%ADstico%20A-Balance&query_place_id=ChIJJ8GHr6yDRo4RWIMnNdn8blU
Gente Sin Riesgo S.A.S,Otro,Centro de formación,Colombia,Medellín,Laureles,"Cl. 57 #45-28, Medellín, La Candelaria, Medellín, Antioquia",+57 322 6868060,http://www.gentesinriesgo.com.co/,,4.6,12,Pequeño,MEDIA,8.4,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gente%20Sin%20Riesgo%20S.A.S&query_place_id=ChIJF1sNOPcoRI4Rm0_42Qurvf4
Barre flow,Yoga,Centro de yoga,México,Ciudad de México,Polanco,"Sierra Guadarrama 513, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 1506 1697,https://www.barreflowmx.com/,,4.9,9,Pequeño,MEDIA,8.4,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Barre%20flow&query_place_id=ChIJmQp-WQYB0oURSZACxHwvWlg
Hell and Heaven Studio,Gimnasio,Centro deportivo,México,Ciudad de México,Polanco,"Avenida Prado Norte 525-Piso 3, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 1800 2299,https://hellandheavenstudio.com/,,4.9,7,Pequeño,MEDIA,8.4,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Hell%20and%20Heaven%20Studio&query_place_id=ChIJ7Wl9eooB0oURZVPKK2uoFKI
Smart Fit - Los Colores,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 53 #71a-86, Medellín, Laureles, Medellín, Antioquia",,https://www.smartfit.com.co/gimnasios/los-colores?utm_campaign=CO_SMART-FIT_RD_LOSCOLORES_25-02-19_AON_IDU-ANCCOL1_GBM_TFR&utm_medium=GBM&utm_source=GBM,,4.5,597,Grande (cadena),BAJA,8.3,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Smart%20Fit%20-%20Los%20Colores&query_place_id=ChIJ2b6zWIkpRI4RHgpJ02DRTvM
Smart Fit - El Tesoro,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cra. 25a #1A Sur -45 Nivel 38.40 Torre Sur Piso 3, Medellín, El Poblado, Medellín, Valle del Cauca",,https://www.smartfit.com.co/gimnasios/el-tesoro?utm_campaign=CO_SMART-FIT_RD_ELTESORO_25-02-19_AON_IDU-ANCTES1_GBM_TFR&utm_medium=GBM&utm_source=GBM,,4.5,536,Grande (cadena),BAJA,8.3,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Smart%20Fit%20-%20El%20Tesoro&query_place_id=ChIJRygse5CCRo4Rg2P29c0HvZU
Smart Fit - Buenos Aires Tranvía,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 49 #38-43 LOCAL 301, Medellín, La Candelaria, Medellín, Antioquia",,https://www.smartfit.com.co/gimnasios/buenos-aires-tranvia?utm_campaign=CO_SMART-FIT_RD_BUENOSAIRESTRANVIA_25-02-19_AON_IDU-ANCBAI1_GBM_TFR&utm_medium=GBM&utm_source=GBM,,4.5,455,Grande (cadena),BAJA,8.3,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Smart%20Fit%20-%20Buenos%20Aires%20Tranv%C3%ADa&query_place_id=ChIJ7bW2rT4pRI4RPCyPyRwN3PQ
Smart Fit - Envigado Barrio Obrero,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Cra. 42 #33B SUR 50, Envigado, Antioquia",,https://www.smartfit.com.co/gimnasios/envigado-barrio-obrero?utm_campaign=CO_SMART-FIT_RD_ENVIGADOBARRIOOBRERO_25-02-19_AON_IDU-ANOENV2_GBM_TFR&utm_medium=GBM&utm_source=GBM,,4.5,418,Grande (cadena),BAJA,8.3,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Smart%20Fit%20-%20Envigado%20Barrio%20Obrero&query_place_id=ChIJAWV_-VGCRo4RVDxjiSH8Llc
Mall Boulevard 49,Otro,Centro comercial,Colombia,Medellín,Laureles,"Cl. 49 #38-43, Medellín, La Candelaria, Medellín, Antioquia",,https://www.mallboulevard49.com/,,4.5,398,Grande (cadena),BAJA,8.3,Sí,No,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Mall%20Boulevard%2049&query_place_id=ChIJgQlCdFkoRI4R-K4uzNZih9M
